pl_name,hostname,pl_rade,pl_masse,pl_orbper,st_teff
"Kepler-705 b","Kepler-705",2.110,,56.05605380,3722.00
"Kepler-705 b","Kepler-705",2.207,,,3593.00
"Kepler-705 b","Kepler-705",,,56.05597307,3631.00
"Kepler-705 b","Kepler-705",1.960,,56.05605380,3593.00
"Kepler-705 b","Kepler-705",,,56.05602601,3631.00
"Kepler-705 b","Kepler-705",2.180,,56.05628000,3893.00
"Kepler-705 b","Kepler-705",1.940,,56.05607540,3593.00
"Kepler-705 b","Kepler-705",1.960,,56.05605380,3593.00
"Kepler-705 b","Kepler-705",2.760,,56.05623000,3674.00
"Kepler-705 b","Kepler-705",,,56.05607540,3631.00
"Kepler-705 b","Kepler-705",1.960,,56.05605380,3593.00
"Kepler-296 c","Kepler-296",,,5.84163661,
"Kepler-296 c","Kepler-296",,,5.84162170,
"Kepler-296 c","Kepler-296",,,5.84163878,
"Kepler-296 c","Kepler-296",1.520,,5.84164124,3517.00
"Kepler-296 c","Kepler-296",1.530,,5.84161806,3517.00
"Kepler-296 c","Kepler-296",1.726,,,3622.00
"Kepler-296 c","Kepler-296",0.840,,5.84200000,3424.00
"Kepler-296 c","Kepler-296",1.890,,5.84164100,3862.00
"Kepler-296 c","Kepler-296",1.520,,5.84164124,3517.00
"Kepler-296 c","Kepler-296",3.350,,,3821.00
"Kepler-296 c","Kepler-296",2.150,,5.84164800,4249.00
"Kepler-296 c","Kepler-296",2.000,,5.84163660,3740.00
"Kepler-296 c","Kepler-296",1.520,,5.84164124,3558.00
"Kepler-296 c","Kepler-296",1.520,,5.84164124,3517.00
"Kepler-296 c","Kepler-296",1.380,,5.84163661,3526.00
"Kepler-283 b","Kepler-283",3.250,,11.00815926,5189.00
"Kepler-283 b","Kepler-283",3.250,,11.00815926,5189.00
"Kepler-283 b","Kepler-283",,,11.00816300,4250.00
"Kepler-283 b","Kepler-283",2.150,,11.00817635,4141.00
"Kepler-283 b","Kepler-283",2.770,,11.00812100,4327.00
"Kepler-283 b","Kepler-283",2.371,,,4141.00
"Kepler-283 b","Kepler-283",2.130,,11.00815100,4351.00
"Kepler-283 b","Kepler-283",,,11.00817635,4250.00
"Kepler-283 b","Kepler-283",,,11.00816627,4250.00
"Kepler-283 b","Kepler-283",3.063,,,4141.00
"Kepler-283 b","Kepler-283",3.250,,11.00815926,5189.00
"Kepler-283 b","Kepler-283",2.690,,11.00815926,4251.00
"Kepler-283 b","Kepler-283",3.440,,11.00823021,5189.00
"Kepler-296 d","Kepler-296",,,19.85029495,
"Kepler-296 d","Kepler-296",,,19.85028256,
"Kepler-296 d","Kepler-296",,,19.85028349,
"Kepler-296 d","Kepler-296",1.650,,19.85028393,3558.00
"Kepler-296 d","Kepler-296",1.874,,,3622.00
